ID,Education,Marital_Status,age,Income,Childern_count,NumWebVisitsMonth,Complain,RFM_Score,Customer_segment,Campaign_1_Status,Campaign_2_Status,Campaign_3_Status,Campaign_4_Status,Campaign_5_Status,Response
5524,Graduation,Single,57,58138.0,0,7,0,4.1,High value Customer,0,0,0,0,0,1
2174,Graduation,Single,60,46344.0,2,5,0,1.12,Lost Customers,0,0,0,0,0,0
4141,Graduation,Married,49,71613.0,0,4,0,3.74,Medium Value Customer,0,0,0,0,0,0
6182,Graduation,Married,30,26646.0,1,6,0,1.7,Low Value Customers,0,0,0,0,0,0
5324,PhD,Married,33,58293.0,1,5,0,2.86,Low Value Customers,0,0,0,0,0,0
7446,Master,Married,47,62513.0,1,6,0,4.0,Medium Value Customer,0,0,0,0,0,0
965,Graduation,Divorced,43,55635.0,1,6,0,3.68,Medium Value Customer,0,0,0,0,0,0
6177,PhD,Married,29,33454.0,1,8,0,2.01,Low Value Customers,0,0,0,0,0,0
4855,PhD,Married,40,30351.0,1,9,0,1.26,Lost Customers,0,0,0,0,0,1
5899,PhD,Married,64,5648.0,2,20,0,0.25,Lost Customers,0,0,1,0,0,0
1994,Graduation,Married,31,,1,7,0,0.81,Lost Customers,0,0,0,0,0,0
387,Others,Married,38,7500.0,0,8,0,0.96,Lost Customers,0,0,0,0,0,0
2125,Graduation,Divorced,55,63033.0,0,2,0,2.39,Low Value Customers,0,0,0,0,0,0
8180,Master,Divorced,62,59354.0,2,6,0,2.45,Low Value Customers,0,0,0,0,0,0
2569,Graduation,Married,27,17323.0,0,8,0,0.86,Lost Customers,0,0,0,0,0,0
2114,PhD,Single,68,82800.0,0,3,0,4.5,High value Customer,1,0,0,0,1,1
9736,Graduation,Married,34,41850.0,2,8,0,1.7,Low Value Customers,0,0,0,0,0,0
4939,Graduation,Married,68,37760.0,0,7,0,2.48,Low Value Customers,0,0,0,0,0,0
6565,Master,Married,65,76995.0,1,5,0,3.99,Medium Value Customer,1,0,0,0,0,0
2278,Others,Single,29,33812.0,1,6,0,1.24,Lost Customers,0,0,0,0,0,0
9360,Graduation,Married,32,37040.0,0,8,0,2.21,Low Value Customers,0,0,0,0,0,0
5376,Graduation,Married,35,2447.0,1,1,0,4.68,Top Customers,0,0,0,0,0,0
1993,PhD,Married,65,58607.0,1,8,0,2.74,Low Value Customers,0,0,0,1,0,0
4047,PhD,Married,60,65324.0,1,4,0,3.76,Medium Value Customer,0,0,0,0,0,0
1409,Graduation,Married,63,40689.0,1,8,0,3.24,Medium Value Customer,0,0,0,0,0,0
7892,Graduation,Single,45,18589.0,0,7,0,1.22,Lost Customers,0,0,0,0,0,0
2404,Graduation,Married,38,53359.0,2,7,0,2.69,Low Value Customers,0,0,0,0,0,0
5255,Graduation,Single,28,,1,1,0,4.63,Top Customers,0,0,0,0,0,0
9422,Graduation,Married,25,38360.0,1,3,0,1.88,Low Value Customers,0,0,0,0,0,0
1966,PhD,Married,49,84618.0,0,2,0,3.95,Medium Value Customer,0,0,0,0,1,0
6864,Master,Divorced,25,10979.0,0,5,0,1.63,Low Value Customers,0,0,0,0,0,0
3033,Master,Married,51,38620.0,0,3,0,1.97,Low Value Customers,0,0,0,0,0,0
5710,Graduation,Married,44,40548.0,1,5,0,1.84,Low Value Customers,0,0,0,1,0,0
7373,PhD,Divorced,62,46610.0,2,6,0,3.16,Medium Value Customer,0,0,0,0,0,1
8755,Master,Married,68,68657.0,0,7,0,3.37,Medium Value Customer,0,0,0,0,0,0
10738,Master,Single,63,49389.0,2,7,0,0.99,Lost Customers,0,0,0,0,0,0
4339,PhD,Married,44,67353.0,1,2,0,4.56,Top Customers,0,0,0,0,0,0
10755,Others,Married,38,23718.0,1,7,0,1.51,Lost Customers,0,0,0,0,0,0
8595,Graduation,Widow,41,42429.0,1,5,0,0.92,Lost Customers,0,0,0,0,0,0
2968,PhD,Divorced,71,48948.0,0,6,0,4.03,High value Customer,0,0,1,0,0,1
8601,Graduation,Married,34,80011.0,1,4,0,3.91,Medium Value Customer,0,0,0,0,0,0
503,Master,Married,29,20559.0,1,8,0,1.0,Lost Customers,0,0,0,0,0,0
8430,Graduation,Married,57,21994.0,1,5,0,0.86,Lost Customers,0,0,0,0,0,0
7281,PhD,Single,55,,0,2,0,1.48,Lost Customers,0,0,0,0,0,0
2139,Master,Married,39,7500.0,1,5,0,1.75,Low Value Customers,0,0,0,0,0,0
1371,Graduation,Single,38,79941.0,0,1,0,2.47,Low Value Customers,0,0,0,0,0,0
9909,Others,Married,18,7500.0,0,9,0,2.07,Low Value Customers,0,0,0,0,0,1
7286,Graduation,Married,46,41728.0,1,10,0,0.46,Lost Customers,0,0,0,0,0,0
7244,Graduation,Single,63,,3,6,0,1.53,Lost Customers,0,0,0,0,0,0
6566,PhD,Married,60,72550.0,2,8,0,4.55,Top Customers,0,0,0,0,0,0
8614,Graduation,Widow,57,65486.0,1,2,0,3.0,Low Value Customers,0,0,0,0,0,0
4114,Master,Married,50,79143.0,0,3,0,4.88,Top Customers,0,0,0,0,0,0
1331,Graduation,Single,37,35790.0,1,7,0,1.26,Lost Customers,0,0,0,0,0,0
2225,Graduation,Divorced,37,82582.0,0,1,0,3.53,Medium Value Customer,1,0,1,0,0,1
9381,Graduation,Married,36,66373.0,2,3,0,3.85,Medium Value Customer,0,0,0,0,0,0
6260,Master,Married,59,82384.0,0,1,0,4.35,High value Customer,0,0,0,0,1,1
10383,Graduation,Divorced,48,70287.0,0,3,0,3.71,Medium Value Customer,0,0,0,0,0,1
7437,Graduation,Single,26,27938.0,1,3,0,1.16,Lost Customers,0,0,0,0,0,0
8557,Graduation,Single,32,,1,6,0,1.23,Lost Customers,0,0,0,0,0,0
8375,PhD,Married,46,55954.0,1,7,0,3.1,Medium Value Customer,0,0,0,0,0,0
6853,Master,Single,32,75777.0,0,1,0,3.84,Medium Value Customer,0,0,0,1,1,1
3076,Graduation,Married,39,66653.0,2,3,0,3.98,Medium Value Customer,0,0,0,0,0,0
1012,Graduation,Single,62,61823.0,1,7,0,4.23,High value Customer,0,0,0,0,0,0
6518,PhD,Widow,63,67680.0,1,5,0,3.51,Medium Value Customer,0,0,0,0,0,0
4137,Graduation,Married,66,70666.0,0,4,0,2.79,Low Value Customers,0,0,0,0,0,0
8082,Graduation,Married,43,25721.0,1,7,0,0.59,Lost Customers,0,0,0,0,0,1
1386,Graduation,Married,47,32474.0,2,7,0,0.89,Lost Customers,0,0,0,0,0,0
9369,Others,Single,35,88194.0,1,5,0,4.82,Top Customers,1,0,1,0,0,1
4477,Graduation,Married,56,69096.0,1,4,0,3.37,Medium Value Customer,0,0,0,0,0,0
1357,Graduation,Married,44,74854.0,3,5,0,2.9,Low Value Customers,0,0,0,0,0,0
1402,Master,Married,60,66991.0,0,3,0,3.93,Medium Value Customer,0,0,0,0,0,0
10629,Others,Married,41,,1,8,0,1.89,Low Value Customers,0,0,0,0,0,0
6312,Graduation,Married,55,65031.0,1,7,0,4.7,Top Customers,0,0,0,0,0,0
8132,PhD,Married,39,60631.0,2,7,0,3.76,Medium Value Customer,0,0,0,1,0,0
1050,Graduation,Married,62,28332.0,0,2,0,1.45,Lost Customers,0,0,0,0,0,0
5846,Graduation,Divorced,37,40246.0,1,6,0,0.38,Lost Customers,0,0,0,0,0,0
1859,Master,Married,42,75251.0,0,5,0,3.31,Medium Value Customer,0,0,0,0,0,1
7503,Graduation,Single,38,75825.0,0,4,0,3.81,Medium Value Customer,0,0,1,0,0,1
10401,Others,Married,38,26326.0,0,3,1,0.8,Lost Customers,0,0,0,0,0,0
1618,Graduation,Married,49,56046.0,0,8,0,3.87,Medium Value Customer,0,0,1,0,0,1
3332,Graduation,Single,29,29760.0,1,8,0,1.86,Low Value Customers,0,0,0,0,0,0
2261,Graduation,Married,45,26304.0,1,7,0,0.85,Lost Customers,0,0,0,0,0,0
5346,Others,Married,41,23559.0,1,7,0,1.42,Lost Customers,0,0,0,0,0,0
4119,Master,Married,51,38620.0,0,3,0,1.97,Low Value Customers,0,0,0,0,0,0
535,Graduation,Divorced,27,81361.0,0,1,0,4.64,Top Customers,0,0,0,0,0,0
5268,Graduation,Married,54,29440.0,2,7,0,0.95,Lost Customers,0,0,0,0,0,0
273,Master,Married,44,36138.0,2,7,0,2.27,Low Value Customers,0,0,0,1,0,0
4452,Graduation,Single,57,50388.0,1,7,0,3.19,Medium Value Customer,1,0,0,1,0,1
8504,Graduation,Married,41,79593.0,0,2,0,3.05,Medium Value Customer,0,0,0,0,1,0
771,Graduation,Married,47,54178.0,1,2,0,1.66,Low Value Customers,0,0,0,0,0,0
8996,PhD,Married,57,,3,9,0,4.86,Top Customers,0,0,0,0,0,0
9235,Graduation,Single,57,,2,7,0,0.56,Lost Customers,0,0,0,0,0,0
5798,Master,Married,41,,0,1,0,2.19,Low Value Customers,0,0,0,0,0,0
11178,Master,Single,42,42394.0,1,7,0,0.63,Lost Customers,0,0,0,0,0,0
2230,PhD,Married,44,23626.0,1,5,0,1.62,Low Value Customers,0,0,0,0,0,0
7516,Graduation,Married,31,30096.0,1,6,0,1.17,Lost Customers,0,0,0,0,0,0
7247,Graduation,Widow,54,47916.0,1,6,0,3.58,Medium Value Customer,0,0,0,1,0,0
11100,Graduation,Divorced,42,51813.0,2,7,0,1.38,Lost Customers,0,0,0,0,0,0
4646,Others,Married,63,78497.0,0,2,0,4.21,High value Customer,1,0,0,0,0,0
3037,PhD,Married,31,50150.0,0,5,0,2.77,Low Value Customers,0,0,0,0,0,0
1473,Others,Single,54,47823.0,1,8,0,1.66,Low Value Customers,0,0,0,0,0,0
1016,PhD,Single,55,34554.0,1,6,0,1.34,Lost Customers,0,0,0,0,0,0
4518,Graduation,Married,35,85693.0,1,5,0,4.32,High value Customer,0,0,0,0,0,0
9370,PhD,Married,69,65846.0,0,4,0,2.5,Low Value Customers,0,0,0,0,0,0
8908,Graduation,Married,55,87195.0,0,1,0,3.49,Medium Value Customer,0,0,0,0,0,1
